STATE,COUNTY,TRACTFIPS,STCOFIPS,RISK_SCORE,RISK_VALUE,HAIL_AFREQ,HAIL_EXPA,HWAV_AFREQ,HWAV_EXPA
Delaware,Kent,10001040100,10001,78.56896531221386,2765038.853267636,1.735867252762513,29805867.0,5.210526315789473,29805867.0
Delaware,Kent,10001040201,10001,44.153496723865246,1361036.7625312062,1.735867252762513,4155071.0,5.210526315789476,4155071.0
Delaware,Kent,10001040203,10001,46.925427800173615,1434872.507828584,1.735867252762513,10479302.0,5.210526315789469,10479302.0
Delaware,Kent,10001040204,10001,57.68137657117715,1761631.9732289708,1.735867252762513,6809614.0,5.210526315789472,6809614.0
Delaware,Kent,10001040205,10001,19.647295256442273,801932.6958329292,1.735867252762513,165319.0,5.210526315789473,165319.0
Delaware,Kent,10001040206,10001,68.8392612940435,2203219.213790174,1.735867252762514,11118433.0,5.210526315789473,11118433.0
Delaware,Kent,10001040501,10001,57.61716195164877,1759512.5664746535,1.735867252762513,793150.0,5.210526315789474,793150.0
Delaware,Kent,10001040502,10001,17.098926188862333,745537.4213675697,1.735867252762514,5009477.0,5.210526315789476,5009477.0
Delaware,Kent,10001040700,10001,72.32944478137301,2378586.7027023416,1.735867252762513,216916.0,5.210526315789473,216916.0
Delaware,Kent,10001040900,10001,28.771717027576607,1001861.8764514644,1.735867252762513,0.0,5.210526315789474,0.0
Delaware,Kent,10001041000,10001,70.88818332084715,2303330.910262555,1.735867252762513,7305959.0,5.210526315789472,7305959.0
Delaware,Kent,10001041101,10001,8.12909516844446,525404.6205793889,1.735867252762514,13248.0,5.210526315789473,13248.0
Delaware,Kent,10001041200,10001,54.889229781313546,1666840.6373218095,1.735867252762513,332388.0,5.210526315789473,332388.0
Delaware,Kent,10001041300,10001,43.06660483036639,1333318.3177150611,1.735867252762513,585774.0,5.210526315789473,585774.0
Delaware,Kent,10001041400,10001,47.47125206616485,1450836.3558654916,1.735867252762514,444510.0,5.210526315789473,444510.0
Delaware,Kent,10001041500,10001,36.79497698976134,1181489.3256209495,1.735867252762514,179610.0,5.210526315789472,179610.0
Delaware,Kent,10001041600,10001,13.847763785332909,670658.3619441299,1.735867252762513,309763.0,5.210526315789472,309763.0
Delaware,Kent,10001041701,10001,39.57642134303688,1247614.5401107683,1.735867252762514,2854176.0,5.210526315789474,2854176.0
Delaware,Kent,10001041702,10001,68.66207651053001,2195226.128904592,1.735867252762514,416128.0,5.210526315789476,416128.0
Delaware,Kent,10001041802,10001,45.34027802551937,1392955.3939516635,1.735867252762513,13083285.0,5.210526315789475,13083285.0
Delaware,Kent,10001041803,10001,28.590964765200432,998239.62246243,1.735867252762514,2775897.0,5.210526315789474,2775897.0
Delaware,Kent,10001041804,10001,46.718514026137726,1428787.2114061143,1.735867252762514,17684683.0,5.210526315789474,17684683.0
Delaware,Kent,10001041900,10001,53.89984897672815,1636160.7384015878,1.735867252762513,23661487.0,5.210526315789473,23661487.0
Delaware,Kent,10001042000,10001,49.52493073145208,1507257.5627113031,1.735867252762514,50643798.0,5.210526315789473,50643798.0
Delaware,Kent,10001042100,10001,53.35878134922051,1620653.5786135227,1.735867252762513,25923114.0,5.210526315789474,25923114.0
Delaware,Kent,10001042203,10001,44.201063108701085,1362815.0882064356,1.735867252762513,6632609.0,5.210526315789475,6632609.0
Delaware,Kent,10001042204,10001,36.24082860642384,1168165.133145908,1.735867252762513,6335440.0,5.210526315789473,6335440.0
Delaware,Kent,10001042205,10001,15.166541804906473,701785.4316390939,1.735867252762513,5855098.0,5.210526315789471,5855098.0
Delaware,Kent,10001042206,10001,13.828737231398572,670165.6636265483,1.735867252762513,6896407.0,5.210526315789473,6896407.0
Delaware,Kent,10001042207,10001,14.938223157694456,696348.2625865404,1.735867252762514,2810891.0,5.210526315789473,2810891.0
Delaware,Kent,10001042208,10001,34.06347734056342,1117851.6870727767,1.735867252762513,4154617.0,5.210526315789473,4154617.0
Delaware,Kent,10001042500,10001,43.50183725161428,1343914.6475675316,1.274076730018037,2539527.0,6.662054638374392,2539527.0
Delaware,Kent,10001042801,10001,43.86572009560844,1352807.309760602,1.465708216267355,61488771.0,5.210526315789474,61488771.0
Delaware,Kent,10001042802,10001,64.36207532137038,2010090.472358036,1.63215691057323,22003269.0,5.210526315789474,22003269.0
Delaware,Kent,10001042900,10001,71.70870345926534,2345806.945665441,1.286936617486901,45871184.0,5.6022430565193,45871184.0
Delaware,Kent,10001043000,10001,54.63356046282093,1659126.2166403583,1.274076730018036,7769915.0,5.210526315789473,7769915.0
Delaware,Kent,10001043100,10001,45.31054903499697,1392399.7988518567,1.274076730018036,59825670.0,5.278972401529502,59825670.0
Delaware,Kent,10001043202,10001,82.08531031120307,3039726.742566569,1.731468762407151,40528975.0,5.223804600268104,40528975.0
Delaware,Kent,10001043300,10001,89.70901264076677,3994140.4242009297,1.735867252762514,420584.0,5.210526315789472,420584.0
Delaware,Kent,10001043400,10001,65.44421057638566,2055565.8505064887,1.549315799303457,14528982.0,5.218231323193282,14528982.0
Delaware,Kent,10001980000,10001,0.601714768173332,128721.80478875493,1.735867252762513,1409916.0,5.210526315789474,1409916.0
Delaware,New Castle,10003000200,10003,66.01025055593213,2080864.099963564,2.23088011527278,3.0,11.157894736842108,3.0
Delaware,New Castle,10003000300,10003,55.99158074988407,1705215.1343066818,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003000400,10003,43.8752333725756,1353000.8874021608,2.230880115272781,104.0,11.157894736842104,104.0
Delaware,New Castle,10003000500,10003,54.701342561212,1661465.58235008,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003000601,10003,58.24503823148181,1779423.2289682722,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003000602,10003,62.49152723770112,1937431.9870024747,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003000900,10003,58.94902072705219,1805838.8637205944,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003001100,10003,22.453711961756625,865663.4984611722,2.230880115272781,0.0,11.157894736842108,0.0
Delaware,New Castle,10003001200,10003,2.152378913821603,303194.18591598654,2.230880115272781,0.0,11.157894736842106,0.0
Delaware,New Castle,10003001300,10003,65.00303235703329,2035916.9055657072,2.230880115272781,22241.0,11.15789473684211,22241.0
Delaware,New Castle,10003001400,10003,8.081528783608624,524246.5481758406,2.230880115272781,0.0,11.157894736842106,0.0
Delaware,New Castle,10003001500,10003,11.251828332917126,608291.222976716,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003001600,10003,20.469004554481348,820545.8063922558,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003001902,10003,87.38777306077793,3625202.197881503,2.23088011527278,1483.0,11.1578947368421,1483.0
Delaware,New Castle,10003002100,10003,15.214108189742308,702844.2398023822,2.23088011527278,0.0,11.157894736842106,0.0
Delaware,New Castle,10003002200,10003,31.60191692530888,1063321.41509626,2.230880115272782,0.0,11.157894736842106,0.0
Delaware,New Castle,10003002300,10003,9.604842257976289,564956.3964590441,2.230880115272781,18.0,11.157894736842104,18.0
Delaware,New Castle,10003002400,10003,27.41488590013437,972826.4096578312,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003002500,10003,6.372706408381197,474485.3014251932,2.230880115272781,7721.0,11.157894736842104,7721.0
Delaware,New Castle,10003002600,10003,33.87083348197829,1113844.458555922,2.230880115272781,0.0,11.157894736842108,0.0
Delaware,New Castle,10003002700,10003,97.08418060956322,6770822.821804379,2.230880115272782,0.0,11.157894736842106,0.0
Delaware,New Castle,10003002800,10003,71.2247154935607,2320282.291925507,2.23088011527278,0.0,11.157894736842104,0.0
Delaware,New Castle,10003002900,10003,67.24697656166387,2135104.8394964053,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003003002,10003,92.41672909754675,4600989.024087356,2.230880115272781,0.0,11.157894736842106,0.0
Delaware,New Castle,10003010104,10003,9.493061253612073,562620.5120209096,2.230880115272781,45218.0,11.157894736842106,45218.0
Delaware,New Castle,10003010105,10003,2.982412329206949,349045.1177734944,2.230880115272781,1485.0,11.1578947368421,1485.0
Delaware,New Castle,10003010106,10003,0.765818795856968,165547.5274620271,2.23088011527278,969.0,11.157894736842104,969.0
Delaware,New Castle,10003010200,10003,3.846931373598278,386007.9578690789,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003010300,10003,7.167065035139666,498653.1654762552,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003010400,10003,27.59444900288966,976722.8251228848,2.230880115272781,1483.0,11.157894736842104,1483.0
Delaware,New Castle,10003010502,10003,39.10075749467851,1235973.4189633487,2.23088011527278,1483.0,11.157894736842104,1483.0
Delaware,New Castle,10003010703,10003,4.676964788983625,415936.5365632176,2.230880115272781,1485.0,11.157894736842106,1485.0
Delaware,New Castle,10003010704,10003,42.93698643168872,1329885.2288405737,2.23088011527278,1483.0,11.1578947368421,1483.0
Delaware,New Castle,10003010800,10003,54.71204499780006,1661713.3729454123,2.23088011527278,33362.0,11.157894736842104,33362.0
Delaware,New Castle,10003010900,10003,28.98457659971698,1006724.5278428054,2.23088011527278,7416.0,11.157894736842104,7416.0
Delaware,New Castle,10003011000,10003,10.767840367212491,596427.5074130186,2.230880115272781,132688.0,11.157894736842104,132688.0
Delaware,New Castle,10003011100,10003,20.269225738170835,816373.2475599643,2.23088011527278,16312.0,11.157894736842104,16312.0
Delaware,New Castle,10003011201,10003,4.990902928900146,426554.06598768686,2.23088011527278,6672.0,11.157894736842104,6672.0
Delaware,New Castle,10003011202,10003,14.918007444139228,695801.4104338108,2.23088011527278,5191.0,11.1578947368421,5191.0
Delaware,New Castle,10003011203,10003,12.181751156457732,630687.1872191136,2.230880115272779,2967.0,11.157894736842108,2967.0
Delaware,New Castle,10003011204,10003,27.363752036435848,971666.7484286632,2.230880115272781,11865.0,11.157894736842104,11865.0
Delaware,New Castle,10003011205,10003,2.444912180561997,319241.4046162316,2.230880115272781,743.0,11.157894736842104,743.0
Delaware,New Castle,10003011206,10003,35.39176863710416,1147387.4403272176,2.23088011527278,3709.0,11.157894736842106,3709.0
Delaware,New Castle,10003011300,10003,6.25260128667071,470455.5005297107,2.230880115272781,0.0,11.157894736842106,0.0
Delaware,New Castle,10003011400,10003,26.190051490611584,946110.0856645312,2.230880115272781,3708.0,11.157894736842104,3708.0
Delaware,New Castle,10003011500,10003,27.462452284970208,973893.3480797629,2.23088011527278,743.0,11.157894736842106,743.0
Delaware,New Castle,10003011600,10003,25.489636473903893,931178.3806254766,2.230880115272781,1483.0,11.157894736842106,1483.0
Delaware,New Castle,10003011700,10003,65.84257904938579,2073966.604148405,2.23088011527278,1584145.0,11.1578947368421,1584145.0
Delaware,New Castle,10003011800,10003,74.60787461500956,2505277.581884285,2.378869677305596,8486324.0,11.192018573609328,8486324.0
Delaware,New Castle,10003011900,10003,59.270093824694094,1817678.5340419032,2.261665767282512,865454.0,11.1578947368421,865454.0
Delaware,New Castle,10003012000,10003,59.933644893154,1840489.2535887912,2.23088011527278,8897.0,11.157894736842104,8897.0
Delaware,New Castle,10003012100,10003,42.22943645725566,1312749.18838483,2.23088011527278,10382.0,11.157894736842108,10382.0
Delaware,New Castle,10003012200,10003,47.423685681329005,1448853.2943468883,2.23088011527278,5931.0,11.157894736842104,5931.0
Delaware,New Castle,10003012300,10003,13.286480444270037,657531.9332664007,2.230880115272781,2225.0,11.157894736842106,2225.0
Delaware,New Castle,10003012400,10003,84.53260081100686,3275720.43536675,2.23088011527278,10380.0,11.157894736842108,10380.0
Delaware,New Castle,10003012500,10003,40.525370720511816,1271314.2865336307,2.23088011527278,598.0,11.157894736842106,598.0
Delaware,New Castle,10003012600,10003,5.578347781622727,447798.71924066544,2.230880115272782,734.0,11.1578947368421,734.0
Delaware,New Castle,10003012700,10003,63.067080494214736,1960745.3526102284,2.230880115272781,2966.0,11.157894736842104,2966.0
Delaware,New Castle,10003012900,10003,56.55762072943051,1722056.361825256,2.230880115272781,2966.0,11.157894736842106,2966.0
Delaware,New Castle,10003013000,10003,7.715267620372683,513550.7284303616,2.230880115272781,0.0,11.157894736842106,0.0
Delaware,New Castle,10003013100,10003,9.200527986871675,554473.3369146994,2.240943957968121,1485.0,11.157894736842104,1485.0
Delaware,New Castle,10003013200,10003,14.024948568846396,674676.8824195015,2.261367493098511,5931.0,11.157894736842106,5931.0
Delaware,New Castle,10003013300,10003,4.489077568882071,408770.76429683965,2.723004034908374,0.0,11.157894736842104,0.0
Delaware,New Castle,10003013400,10003,12.502824254099629,638546.0678383365,2.651781253425113,5190.0,11.157894736842106,5190.0
Delaware,New Castle,10003013501,10003,85.81927152081624,3424788.5613805167,2.692882497870077,1647892.0,11.176318964730047,1647892.0
Delaware,New Castle,10003013505,10003,44.01436504822042,1357446.8429221627,2.785693189361468,507058.0,11.1872843415442,507058.0
Delaware,New Castle,10003013506,10003,50.54522968618078,1535574.201162244,2.785693189361468,1126316.0,11.181933792974494,1126316.0
Delaware,New Castle,10003013507,10003,13.338803467589456,658622.9292824812,2.785693189361468,44479.0,11.157894736842106,44479.0
Delaware,New Castle,10003013508,10003,90.70790672231932,4185327.046919876,2.785693189361468,253454.0,11.1905361083676,253454.0
Delaware,New Castle,10003013604,10003,61.35231232088283,1891956.4486800528,2.785693189361468,393613.0,11.157894736842104,393613.0
Delaware,New Castle,10003013607,10003,70.84418441487401,2301231.2366554914,2.785693189361469,17795.0,11.157894736842106,17795.0
Delaware,New Castle,10003013608,10003,10.615627935737814,592586.6587446454,2.78569318936147,0.0,11.157894736842106,0.0
Delaware,New Castle,10003013610,10003,72.7955953527642,2404918.955850799,2.785693189361468,2282756.0,11.157894736842104,2282756.0
Delaware,New Castle,10003013611,10003,64.13851331264195,2001133.0928117873,2.785693189361468,8899.0,11.157894736842104,8899.0
Delaware,New Castle,10003013612,10003,58.46027612286397,1787599.728418052,2.785693189361469,17226.0,11.157894736842104,17226.0
Delaware,New Castle,10003013613,10003,66.72017884960698,2112794.436021936,2.78569318936147,244618.0,11.1578947368421,244618.0
Delaware,New Castle,10003013614,10003,64.68671589787498,2023414.3731281229,2.503978577191949,743.0,11.157894736842108,743.0
Delaware,New Castle,10003013615,10003,74.80646427169918,2517811.267453736,2.682115471618881,10271.0,11.157894736842104,10271.0
Delaware,New Castle,10003013700,10003,76.4570178255027,2620625.514360602,2.785693189361469,369395.0,11.157894736842104,369395.0
Delaware,New Castle,10003013800,10003,92.90071706325139,4729531.988539706,2.385547460370276,161118.0,11.157894736842104,161118.0
Delaware,New Castle,10003013901,10003,13.059350956678914,652135.7754390321,2.785693189361468,8896.0,11.157894736842106,8896.0
Delaware,New Castle,10003013903,10003,53.90579477483263,1636405.4923460884,2.785690640052417,19259.0,11.157894736842106,19259.0
Delaware,New Castle,10003013905,10003,30.209411009239773,1032577.1675047902,2.544017218069551,11121.0,11.157894736842106,11121.0
Delaware,New Castle,10003013906,10003,67.32902857550569,2138288.0722091286,2.664109407478607,26688.0,11.157894736842104,26688.0
Delaware,New Castle,10003014000,10003,55.282841615830094,1679408.6529649508,2.785693189361469,8155.0,11.157894736842108,8155.0
Delaware,New Castle,10003014100,10003,84.09023343203359,3230765.229625523,2.785693189361468,341.0,11.157894736842104,341.0
Delaware,New Castle,10003014200,10003,55.81082848750788,1698346.44888767,2.785693189361469,56339.0,11.157894736842108,56339.0
Delaware,New Castle,10003014301,10003,18.679319325033,780295.927726246,2.785693189361469,774393.0,11.221986677117284,774393.0
Delaware,New Castle,10003014302,10003,68.80239734579573,2201250.637980306,2.785693189361469,8710.0,11.160432424480575,8710.0
Delaware,New Castle,10003014402,10003,54.88566230245085,1666772.965010366,2.785693189361468,3707.0,11.157894736842104,3707.0
Delaware,New Castle,10003014403,10003,48.673492442890606,1484234.4656303595,2.785693189361468,2224.0,11.157894736842104,2224.0
Delaware,New Castle,10003014404,10003,79.44418679319325,2827984.685372396,2.785693189361469,82300.0,11.1764078942898,82300.0
Delaware,New Castle,10003014501,10003,48.4427954764368,1478504.066455528,2.785693189361469,8155.0,11.157894736842106,8155.0
Delaware,New Castle,10003014502,10003,77.98508793835397,2724398.6810114975,2.785693189361469,328138.0,11.157894736842104,328138.0
Delaware,New Castle,10003014702,10003,26.794144578026707,959683.278916213,2.785693189361469,3707.0,11.157894736842104,3707.0
Delaware,New Castle,10003014703,10003,45.262982650161135,1391113.9186165067,2.785693189361469,172816.0,11.157894736842104,172816.0
Delaware,New Castle,10003014705,10003,55.62413042702722,1691446.5058537791,2.78569318936147,137557.0,11.157894736842104,137557.0
Delaware,New Castle,10003014706,10003,36.9210279095763,1184191.0139747143,2.785693189361469,215599.0,11.157894736842108,215599.0
Delaware,New Castle,10003014803,10003,74.20831698238854,2483291.404649256,2.785693189361468,75615.0,11.16648264031558,75615.0
Delaware,New Castle,10003014808,10003,79.59996670353061,2840639.090232119,2.785693189361468,900356.0,11.157894736842104,900356.0
Delaware,New Castle,10003014809,10003,56.307897209042366,1714133.062201247,2.656047868204171,84599.0,11.157894736842106,84599.0
Delaware,New Castle,10003014810,10003,66.31467541888148,2094301.080114688,2.778205449139022,992467.0,11.157894736842104,992467.0
Delaware,New Castle,10003014811,10003,43.039254159085765,1332683.4153102972,2.785693189361468,2040770.0,11.162269213893836,2040770.0
Delaware,New Castle,10003014812,10003,50.218210790434405,1526365.1435143556,2.785693189361468,456356.0,11.158103981543492,456356.0
Delaware,New Castle,10003014813,10003,29.62196615651719,1019478.538644542,2.785693189361469,130608.0,11.162413217880776,130608.0
Delaware,New Castle,10003014814,10003,71.60881405111009,2340512.801815396,2.785693189361468,200182.0,11.157894736842104,200182.0
Delaware,New Castle,10003014903,10003,79.50959057234253,2833099.8563994328,2.638059776086635,186029.0,11.157894736842108,186029.0
Delaware,New Castle,10003014904,10003,17.934905402352157,765526.628558959,2.23088011527278,300360.0,11.157894736842104,300360.0
Delaware,New Castle,10003014906,10003,41.04146599598064,1283642.6415036563,2.230880115272781,110478.0,11.157894736842104,110478.0
Delaware,New Castle,10003014907,10003,45.48297718002687,1396571.5826693214,2.23088011527278,1871.0,11.157894736842106,1871.0
Delaware,New Castle,10003014908,10003,2.560260663788901,326699.17051320407,2.23088011527278,22238.0,11.157894736842104,22238.0
Delaware,New Castle,10003014909,10003,42.99287693387083,1331277.465572697,2.230880115272781,5191.0,11.157894736842104,5191.0
Delaware,New Castle,10003015000,10003,86.8788127430345,3556753.683183815,2.230880115272779,176792.0,11.157894736842106,176792.0
Delaware,New Castle,10003015100,10003,42.40186460228556,1316607.3368139155,2.230880115272781,0.0,11.157894736842104,0.0
Delaware,New Castle,10003015200,10003,42.88347424874841,1328589.9576112467,2.230880115272781,59377.0,11.157894736842104,59377.0
