STATE,COUNTY,TRACTFIPS,STCOFIPS,RISK_SCORE,RISK_VALUE,HAIL_AFREQ,HAIL_EXPA,HWAV_AFREQ,HWAV_EXPA
Arkansas,Arkansas,5001480100,5001,58.30211789328481,1781617.1627372887,3.384321597074993,56347019.0,19.315789473684205,56347019.0
Arkansas,Arkansas,5001480200,5001,67.66318242897744,2151471.6240600706,3.77565814055833,86824526.0,19.315789473684216,86824526.0
Arkansas,Arkansas,5001480300,5001,79.309811756032,2817776.398896824,3.828874658007265,5914390.0,19.315789473684216,5914390.0
Arkansas,Arkansas,5001480400,5001,79.7735840081814,2853022.336374917,3.828874658007266,9765279.0,19.31578947368421,9765279.0
Arkansas,Arkansas,5001480500,5001,92.66883093717666,4666669.364340694,3.828874658007265,1428321.0,19.3157894736842,1428321.0
Arkansas,Arkansas,5001480600,5001,80.88663741333998,2942291.3710615635,3.742496574616212,18876035.0,19.31578947368422,18876035.0
Arkansas,Arkansas,5001480700,5001,85.0748575981354,3337203.7138362504,3.742496574616211,18649005.0,19.31578947368421,18649005.0
Arkansas,Arkansas,5001480800,5001,65.54053250567824,2059030.75021163,3.641982295159271,78065513.0,19.315789473684216,78065513.0
Arkansas,Ashley,5003960100,5003,81.26716849202668,2972769.029244656,3.18608907337558,51396507.0,18.947368421052627,51396507.0
Arkansas,Ashley,5003960200,5003,38.684551627364954,1225981.6314826799,3.239804023588635,5317865.0,18.947368421052634,5317865.0
Arkansas,Ashley,5003960300,5003,79.89963492799639,2862660.2217028965,3.242639623556322,4104960.0,18.94736842105264,4104960.0
Arkansas,Ashley,5003960400,5003,78.7021511897542,2774435.912391761,3.425935380872191,28262879.0,18.947368421052634,28262879.0
Arkansas,Ashley,5003960500,5003,60.3141759718407,1853782.536011696,3.264678195636671,455758.0,18.947368421052634,455758.0
Arkansas,Ashley,5003960600,5003,93.22892511861869,4823011.167958776,3.457394662249967,215910.0,18.947368421052637,215910.0
Arkansas,Ashley,5003960700,5003,50.51312237641659,1534203.918725364,3.365294677379314,618476.0,18.947368421052623,618476.0
Arkansas,Baxter,5005950100,5005,89.6459871808593,3982690.391544191,5.164412716592014,1456648.0,9.421052631578943,1456648.0
Arkansas,Baxter,5005950200,5005,85.22231339112649,3355123.0122407046,5.164412716592013,465381.0,9.421052631578943,465381.0
Arkansas,Baxter,5005950300,5005,85.43160548440417,3380177.8788944623,5.164412716592016,571430.0,9.421052631578949,571430.0
Arkansas,Baxter,5005950400,5005,84.93453676286968,3319538.0902704108,5.164412716592015,1877271.0,9.421052631578943,1877271.0
Arkansas,Baxter,5005950500,5005,88.87422258689784,3851844.4611704177,5.034809255536173,12473894.0,9.42119917309246,12473894.0
Arkansas,Baxter,5005950600,5005,77.96011558631515,2722441.738752472,5.164412716592013,3843170.0,9.421052631578942,3843170.0
Arkansas,Baxter,5005950700,5005,63.95419357140308,1994364.3682698067,5.164412716592016,4482320.0,9.421052631578954,4482320.0
Arkansas,Baxter,5005950801,5005,79.78309728514857,2853616.336419998,5.164412716592016,5512143.0,9.421052631578938,5512143.0
Arkansas,Baxter,5005950802,5005,15.130867016279597,701028.0222158494,5.164412716592015,3358139.0,9.421052631578949,3358139.0
Arkansas,Baxter,5005950900,5005,92.14322238474072,4526537.75681346,5.164412716592017,6864820.0,9.421052631578954,6864820.0
Arkansas,Benton,5007020102,5007,85.19971935832947,3352945.346324424,7.780671973147948,23846671.0,9.684210526315788,23846671.0
Arkansas,Benton,5007020103,5007,63.20740132948046,1966328.8738945096,7.780671973147954,33963608.0,9.684210526315784,33963608.0
Arkansas,Benton,5007020104,5007,19.729347270284087,803587.8104400716,7.780671973147953,22403264.0,9.684210526315791,22403264.0
Arkansas,Benton,5007020201,5007,60.37482311250639,1856119.6875899136,7.780671973147954,2747573.0,9.684210526315788,2747573.0
Arkansas,Benton,5007020203,5007,11.941540913036755,625429.5135246178,7.780671973147954,969168.0,9.684210526315788,969168.0
Arkansas,Benton,5007020205,5007,28.25443259248689,990869.9498948333,7.780671973147957,2258659.0,9.684210526315791,2258659.0
Arkansas,Benton,5007020206,5007,60.38195807023177,1856344.9029030325,7.780671973147954,1625921.0,9.684210526315791,1625921.0
Arkansas,Benton,5007020301,5007,58.85150963813873,1802323.6938050927,7.780671973147954,378861.0,9.684210526315791,378861.0
Arkansas,Benton,5007020302,5007,29.51137431177387,1017294.521004798,7.780671973147957,327277.0,9.684210526315788,327277.0
Arkansas,Benton,5007020304,5007,21.689082325520552,848741.7878574354,7.780671973147958,1742419.0,9.684210526315791,1742419.0
Arkansas,Benton,5007020305,5007,44.340194784345904,1366111.6306641628,7.780671973147956,979430.0,9.684210526315796,979430.0
Arkansas,Benton,5007020401,5007,79.40732284494547,2825060.6908851005,7.780671973147954,1554994.0,9.684210526315784,1554994.0
Arkansas,Benton,5007020402,5007,56.56951232563947,1722534.8009320868,7.780671973147956,1676.0,9.684210526315791,1676.0
Arkansas,Benton,5007020404,5007,77.08370494571484,2661309.336407291,7.780671973147957,1289214.0,9.684210526315791,1289214.0
Arkansas,Benton,5007020405,5007,62.89703066842662,1953489.327563646,7.780671973147957,4294147.0,9.684210526315788,4294147.0
Arkansas,Benton,5007020501,5007,46.09301606554648,1412875.3916861727,7.780671973147953,2134604.0,9.684210526315786,2134604.0
Arkansas,Benton,5007020503,5007,57.00474474688737,1737664.1348787465,7.780671973147956,660043.0,9.684210526315791,660043.0
Arkansas,Benton,5007020504,5007,46.24998513550474,1416975.5962573811,7.780671973147956,352694.0,9.684210526315788,352694.0
Arkansas,Benton,5007020604,5007,42.29602939602583,1314126.6740337885,7.780671973147957,1315247.0,9.684210526315788,1315247.0
Arkansas,Benton,5007020605,5007,32.07639161404635,1074706.7614777847,7.780671973147954,1117690.0,9.684210526315788,1117690.0
Arkansas,Benton,5007020606,5007,36.58806321572545,1175933.0783384498,7.780671973147955,1436627.0,9.684210526315791,1436627.0
Arkansas,Benton,5007020607,5007,63.610526440964165,1981573.6056348877,7.780671973147952,5377386.0,9.684210526315784,5377386.0
Arkansas,Benton,5007020608,5007,12.38271913238914,635437.1393240056,7.780671973147956,750069.0,9.684210526315791,750069.0
Arkansas,Benton,5007020701,5007,33.95169633619921,1115377.9402468016,7.780671973147955,3994243.0,9.684210526315788,3994243.0
Arkansas,Benton,5007020703,5007,36.470336413256746,1172687.366146875,7.780671973147956,1316200.0,9.684210526315788,1316200.0
Arkansas,Benton,5007020704,5007,49.69735887648199,1512475.1855801335,7.780671973147957,8306856.0,9.684210526315796,8306856.0
Arkansas,Benton,5007020801,5007,70.71099853733367,2294383.2647182336,7.779886601377793,415737.0,9.684210526315788,415737.0
Arkansas,Benton,5007020803,5007,50.6546323713032,1538384.8230063473,7.780671973147955,467025.0,9.684210526315788,467025.0
Arkansas,Benton,5007020805,5007,44.008419250115935,1357257.815597675,7.780671973147957,896883.0,9.684210526315788,896883.0
